Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Tue, Oct 17, 2017",8:01p,Cleveland Cavaliers,102,Boston Celtics,99,Cleveland Cavaliers,"20,562"
"Tue, Oct 17, 2017",10:30p,Golden State Warriors,121,Houston Rockets,122,Houston Rockets,"19,596"
"Wed, Oct 18, 2017",7:00p,Detroit Pistons,102,Charlotte Hornets,90,Detroit Pistons,"20,491"
"Wed, Oct 18, 2017",7:00p,Indiana Pacers,140,Brooklyn Nets,131,Indiana Pacers,"15,008"
"Wed, Oct 18, 2017",7:00p,Orlando Magic,116,Miami Heat,109,Orlando Magic,"18,846"
"Wed, Oct 18, 2017",7:00p,Washington Wizards,120,Philadelphia 76ers,115,Washington Wizards,"20,356"
"Wed, Oct 18, 2017",7:30p,Boston Celtics,100,Milwaukee Bucks,108,Milwaukee Bucks,"18,624"
"Wed, Oct 18, 2017",8:00p,Memphis Grizzlies,103,New Orleans Pelicans,91,Memphis Grizzlies,"17,794"
"Wed, Oct 18, 2017",8:30p,Dallas Mavericks,111,Atlanta Hawks,117,Atlanta Hawks,"19,709"
"Wed, Oct 18, 2017",9:00p,Utah Jazz,106,Denver Nuggets,96,Utah Jazz,"17,588"
"Wed, Oct 18, 2017",9:30p,San Antonio Spurs,107,Minnesota Timberwolves,99,San Antonio Spurs,"18,418"
"Wed, Oct 18, 2017",10:00p,Phoenix Suns,76,Portland Trail Blazers,124,Portland Trail Blazers,"18,055"
"Wed, Oct 18, 2017",10:00p,Sacramento Kings,100,Houston Rockets,105,Houston Rockets,"17,583"
"Thu, Oct 19, 2017",7:30p,Toronto Raptors,117,Chicago Bulls,100,Toronto Raptors,"19,800"
"Thu, Oct 19, 2017",8:00p,Oklahoma City Thunder,105,New York Knicks,84,Oklahoma City Thunder,"18,203"
"Thu, Oct 19, 2017",10:30p,Los Angeles Lakers,92,Los Angeles Clippers,108,Los Angeles Clippers,"18,997"
"Fri, Oct 20, 2017",7:00p,Charlotte Hornets,109,Atlanta Hawks,91,Charlotte Hornets,"18,417"
"Fri, Oct 20, 2017",7:00p,Indiana Pacers,96,Portland Trail Blazers,114,Portland Trail Blazers,"15,325"
"Fri, Oct 20, 2017",7:00p,Milwaukee Bucks,97,Cleveland Cavaliers,116,Cleveland Cavaliers,"18,717"
"Fri, Oct 20, 2017",7:00p,Philadelphia 76ers,92,Boston Celtics,102,Boston Celtics,"20,816"
"Fri, Oct 20, 2017",7:00p,Washington Wizards,115,Detroit Pistons,111,Washington Wizards,"16,337"
"Fri, Oct 20, 2017",7:30p,Brooklyn Nets,126,Orlando Magic,121,Brooklyn Nets,"16,144"
"Fri, Oct 20, 2017",8:00p,Minnesota Timberwolves,100,Utah Jazz,97,Minnesota Timberwolves,"18,978"
"Fri, Oct 20, 2017",8:30p,Dallas Mavericks,88,Sacramento Kings,93,Sacramento Kings,"19,273"
"Fri, Oct 20, 2017",9:30p,New Orleans Pelicans,120,Golden State Warriors,128,Golden State Warriors,"18,171"
"Fri, Oct 20, 2017",10:00p,Phoenix Suns,130,Los Angeles Lakers,132,Los Angeles Lakers,"18,055"
"Sat, Oct 21, 2017",7:30p,Toronto Raptors,128,Philadelphia 76ers,94,Toronto Raptors,"19,800"
"Sat, Oct 21, 2017",8:00p,Chicago Bulls,77,San Antonio Spurs,87,San Antonio Spurs,"21,640"
"Sat, Oct 21, 2017",8:00p,Cleveland Cavaliers,93,Orlando Magic,114,Orlando Magic,"20,562"
"Sat, Oct 21, 2017",8:00p,Houston Rockets,107,Dallas Mavericks,91,Houston Rockets,"18,055"
"Sat, Oct 21, 2017",8:00p,Memphis Grizzlies,111,Golden State Warriors,101,Memphis Grizzlies,"17,794"
"Sat, Oct 21, 2017",8:00p,Miami Heat,112,Indiana Pacers,108,Miami Heat,"19,600"
"Sat, Oct 21, 2017",8:00p,New York Knicks,107,Detroit Pistons,111,Detroit Pistons,"19,812"
"Sat, Oct 21, 2017",8:30p,Milwaukee Bucks,113,Portland Trail Blazers,110,Milwaukee Bucks,"16,211"
"Sat, Oct 21, 2017",9:00p,Denver Nuggets,96,Sacramento Kings,79,Denver Nuggets,"19,520"
"Sat, Oct 21, 2017",9:00p,Utah Jazz,96,Oklahoma City Thunder,87,Utah Jazz,"18,300"
"Sat, Oct 21, 2017",10:30p,Los Angeles Clippers,130,Phoenix Suns,88,Los Angeles Clippers,"19,068"
"Sun, Oct 22, 2017",3:30p,Brooklyn Nets,116,Atlanta Hawks,104,Brooklyn Nets,"13,917"
"Sun, Oct 22, 2017",7:00p,Oklahoma City Thunder,113,Minnesota Timberwolves,115,Minnesota Timberwolves,"18,203"
"Sun, Oct 22, 2017",9:30p,Los Angeles Lakers,112,New Orleans Pelicans,119,New Orleans Pelicans,"18,997"
"Mon, Oct 23, 2017",7:00p,Detroit Pistons,86,Philadelphia 76ers,97,Philadelphia 76ers,"13,709"
"Mon, Oct 23, 2017",7:30p,Miami Heat,104,Atlanta Hawks,93,Miami Heat,"19,600"
"Mon, Oct 23, 2017",8:00p,Houston Rockets,90,Memphis Grizzlies,98,Memphis Grizzlies,"17,129"
"Mon, Oct 23, 2017",8:00p,Milwaukee Bucks,103,Charlotte Hornets,94,Milwaukee Bucks,"12,887"
"Mon, Oct 23, 2017",8:30p,Dallas Mavericks,103,Golden State Warriors,133,Golden State Warriors,"19,875"
"Mon, Oct 23, 2017",8:30p,San Antonio Spurs,101,Toronto Raptors,97,San Antonio Spurs,"18,418"
