game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2004-11-03,19-309,CLE,True,IND,L (-5),1,8,19,.421,2,5,.400,10,12,.833,1,4,5,8,1,3,6,2,28,20.9
2,2004-11-04,19-310,CLE,False,MIA,L (-6),1,9,22,.409,2,3,.667,1,1,1.000,3,3,6,8,1,0,1,0,21,17.8
3,2004-11-06,19-312,CLE,False,MIL,L (-14),1,8,20,.400,0,3,.000,15,22,.682,2,6,8,6,3,0,4,0,31,23.8
4,2004-11-09,19-315,CLE,False,ATL,W (+14),1,8,17,.471,1,4,.250,8,12,.667,1,9,10,4,4,2,3,2,25,22.5
5,2004-11-10,19-316,CLE,True,PHO,W (+5),1,13,24,.542,1,2,.500,11,12,.917,3,7,10,6,3,3,3,1,38,36.1
6,2004-11-13,19-319,CLE,True,WAS,W (+31),1,10,20,.500,0,3,.000,4,5,.800,1,8,9,4,3,2,4,0,24,19.9
7,2004-11-15,19-321,CLE,True,GSW,W (+11),1,12,22,.545,3,5,.600,6,8,.750,2,10,12,4,2,1,1,1,33,30.1
8,2004-11-18,19-324,CLE,False,CHA,W (+17),1,8,14,.571,2,3,.667,1,2,.500,1,5,6,9,0,0,1,3,19,18.3
9,2004-11-20,19-326,CLE,True,CHA,W (+16),1,11,20,.550,0,2,.000,3,4,.750,5,3,8,2,3,1,7,0,25,17.5
10,2004-11-21,19-327,CLE,False,NYK,L (-10),1,5,15,.333,1,3,.333,2,3,.667,2,7,9,10,1,1,5,3,13,10.1
11,2004-11-24,19-330,CLE,True,DET,W (+16),1,15,22,.682,2,3,.667,11,12,.917,3,3,6,5,3,1,3,3,43,39.2
12,2004-11-26,19-332,CLE,False,BOS,W (+2),1,9,13,.692,0,2,.000,2,3,.667,0,6,6,8,3,1,2,2,20,22.4
13,2004-11-27,19-333,CLE,True,CHI,W (+22),1,11,17,.647,1,2,.500,3,4,.750,1,6,7,7,1,0,2,0,26,24.5
14,2004-11-29,19-335,CLE,False,LAC,L (-12),1,9,19,.474,0,2,.000,4,5,.800,1,6,7,5,6,1,3,2,22,20.8
15,2004-12-01,19-337,CLE,False,PHO,L (-19),1,6,19,.316,0,2,.000,3,4,.750,1,2,3,6,2,1,6,2,15,5.1
16,2004-12-02,19-338,CLE,False,DEN,W (+19),1,8,17,.471,0,0,,1,2,.500,1,7,8,9,2,1,5,3,17,13.5
17,2004-12-04,19-340,CLE,True,TOR,W (+8),1,10,17,.588,1,3,.333,6,7,.857,0,6,6,10,2,1,3,2,27,26.4
18,2004-12-07,19-343,CLE,True,NJN,W (+6),1,11,22,.500,0,1,.000,5,6,.833,0,2,2,8,3,0,3,4,27,20.2
19,2004-12-08,19-344,CLE,False,CHI,L (-28),1,5,15,.333,0,2,.000,9,12,.750,0,2,2,6,1,1,4,2,19,11.0
20,2004-12-11,19-347,CLE,False,SAS,L (-19),1,10,19,.526,1,3,.333,2,2,1.000,3,3,6,10,4,0,3,2,23,23.9
21,2004-12-13,19-349,CLE,False,MEM,W (+6),1,14,22,.636,1,3,.333,2,4,.500,0,5,5,8,7,0,3,2,31,30.7
22,2004-12-15,19-351,CLE,True,POR,W (+24),1,10,18,.556,2,3,.667,3,3,1.000,2,9,11,7,3,2,3,1,25,26.4
23,2004-12-16,19-352,CLE,False,DET,L (-12),1,4,21,.190,0,2,.000,3,5,.600,1,8,9,7,4,1,3,2,11,6.0
24,2004-12-18,19-354,CLE,True,BOS,L (-7),1,12,25,.480,3,5,.600,4,8,.500,1,4,5,4,3,1,4,6,31,18.7
25,2004-12-21,19-357,CLE,True,MIN,W (+10),1,10,18,.556,0,1,.000,6,8,.750,0,6,6,12,1,0,2,2,26,25.0
26,2004-12-22,19-358,CLE,False,NJN,L (-2),1,7,18,.389,1,1,1.000,8,10,.800,1,8,9,9,1,0,4,2,23,18.0
27,2004-12-26,19-362,CLE,True,NOH,W (+9),1,7,16,.438,0,1,.000,8,9,.889,1,8,9,14,4,1,5,2,22,25.0
28,2004-12-28,19-364,CLE,False,ATL,W (+9),1,13,25,.520,3,5,.600,11,14,.786,1,8,9,7,1,0,1,2,40,33.7
29,2004-12-29,19-365,CLE,True,HOU,L (-11),1,0,5,.000,0,1,.000,3,5,.600,0,3,3,5,0,0,0,0,3,3.1
30,2005-01-03,20-004,CLE,False,CHA,W (+11),1,11,19,.579,0,3,.000,4,6,.667,2,6,8,6,2,0,1,3,26,23.5
31,2005-01-05,20-006,CLE,True,ATL,W (+16),1,7,14,.500,2,5,.400,4,6,.667,1,5,6,9,1,1,2,4,20,18.8
32,2005-01-08,20-009,CLE,True,NYK,W (+25),1,10,14,.714,0,0,,2,2,1.000,1,2,3,4,0,2,8,2,22,12.9
33,2005-01-11,20-012,CLE,True,CHA,W (+2),1,11,24,.458,2,5,.400,5,7,.714,1,7,8,9,2,1,8,1,29,19.2
34,2005-01-13,20-014,CLE,False,LAL,L (-4),1,12,26,.462,1,4,.250,3,4,.750,3,10,13,9,1,1,4,1,28,22.9
35,2005-01-15,20-016,CLE,False,UTA,W (+13),1,9,20,.450,0,1,.000,9,14,.643,1,7,8,5,5,0,3,2,27,22.1
36,2005-01-16,20-017,CLE,False,SEA,L (-8),1,14,30,.467,3,7,.429,4,6,.667,2,3,5,11,4,1,1,4,35,30.9
37,2005-01-19,20-020,CLE,False,POR,W (+6),1,11,16,.688,1,1,1.000,4,6,.667,1,10,11,10,4,0,2,4,27,30.5
38,2005-01-20,20-021,CLE,False,SAC,L (-27),1,9,19,.474,0,1,.000,0,1,.000,1,7,8,6,1,0,3,0,18,12.9
39,2005-01-22,20-023,CLE,False,GSW,W (+18),1,13,24,.542,0,1,.000,2,2,1.000,1,11,12,10,1,1,3,1,28,25.7
40,2005-01-24,20-025,CLE,True,WAS,L (-9),1,12,26,.462,1,1,1.000,6,10,.600,4,6,10,8,2,1,5,3,31,22.7
41,2005-01-26,20-027,CLE,True,MEM,W (+3),1,10,16,.625,4,6,.667,3,4,.750,1,8,9,15,3,2,5,1,27,32.0
,2005-01-28,20-029,CLE,False,NYK,L (-3),,,,,,,,,,,,,,,,,,,,
,2005-01-30,20-031,CLE,True,MIL,W (+17),,,,,,,,,,,,,,,,,,,,
42,2005-02-01,20-033,CLE,False,ORL,L (-3),1,10,20,.500,0,3,.000,8,13,.615,2,3,5,7,0,1,3,2,28,20.1
43,2005-02-03,20-035,CLE,False,MIA,L (-12),1,11,23,.478,1,3,.333,8,12,.667,2,0,2,10,3,0,2,2,31,26.3
44,2005-02-05,20-037,CLE,True,ORL,W (+9),1,9,21,.429,0,3,.000,12,13,.923,0,6,6,9,2,0,1,2,30,26.8
45,2005-02-08,20-040,CLE,True,TOR,W (+13),1,6,14,.429,0,3,.000,3,4,.750,1,7,8,11,3,0,2,1,15,18.3
46,2005-02-11,20-043,CLE,True,DEN,L (-5),1,12,29,.414,1,6,.167,10,12,.833,2,4,6,6,1,0,4,2,35,21.7
47,2005-02-13,20-045,CLE,True,LAL,W (+14),1,8,20,.400,0,0,,9,10,.900,2,6,8,9,3,1,3,3,25,22.8
48,2005-02-16,20-048,CLE,True,ATL,W (+22),1,11,20,.550,2,2,1.000,4,5,.800,0,5,5,6,3,0,3,0,28,23.7
49,2005-02-17,20-049,CLE,False,MIN,L (-6),1,10,19,.526,1,2,.500,5,6,.833,2,5,7,8,1,0,2,0,26,23.8
50,2005-02-23,20-055,CLE,True,CHI,W (+9),1,8,17,.471,1,1,1.000,10,15,.667,1,5,6,11,5,0,3,2,27,27.4
51,2005-02-25,20-057,CLE,False,IND,L (-24),1,9,25,.360,0,1,.000,3,4,.750,3,4,7,5,2,1,2,0,21,14.2
52,2005-02-27,20-059,CLE,False,NJN,L (-6),1,9,20,.450,1,2,.500,9,10,.900,1,3,4,7,2,0,5,4,28,19.1
53,2005-02-28,20-060,CLE,True,SAS,L (-2),1,6,22,.273,1,4,.250,7,10,.700,1,7,8,7,0,0,2,3,20,10.3
54,2005-03-02,20-062,CLE,True,SEA,L (-17),1,11,20,.550,5,7,.714,5,8,.625,0,5,5,5,0,0,4,2,32,21.4
55,2005-03-04,20-064,CLE,False,PHI,L (-9),1,12,21,.571,0,1,.000,10,12,.833,1,6,7,7,4,0,6,1,34,28.3
56,2005-03-06,20-066,CLE,True,MIA,L (-20),1,9,19,.474,0,1,.000,5,7,.714,0,4,4,5,2,0,1,1,23,17.8
57,2005-03-08,20-068,CLE,True,ORL,W (+19),1,9,22,.409,2,6,.333,3,4,.750,0,7,7,8,1,1,1,3,23,18.0
58,2005-03-13,20-073,CLE,True,IND,W (+12),1,12,23,.522,1,5,.200,10,11,.909,2,3,5,5,1,0,4,1,35,25.7
59,2005-03-15,20-075,CLE,True,UTA,W (+19),1,11,15,.733,2,5,.400,12,16,.750,2,7,9,2,0,1,1,1,36,32.5
60,2005-03-16,20-076,CLE,False,MIL,L (-8),1,13,26,.500,4,9,.444,4,7,.571,1,6,7,6,1,0,5,0,34,22.5
61,2005-03-18,20-078,CLE,True,PHI,L (-12),1,3,20,.150,0,4,.000,10,12,.833,0,8,8,8,4,0,4,0,16,10.4
62,2005-03-20,20-080,CLE,False,TOR,L (-7),1,18,36,.500,6,12,.500,14,15,.933,2,8,10,5,2,0,4,0,56,42.9
63,2005-03-22,20-082,CLE,True,DET,W (+15),1,11,24,.458,2,7,.286,5,8,.625,1,5,6,6,1,0,0,1,29,22.4
64,2005-03-24,20-084,CLE,False,HOU,L (-19),1,7,22,.318,1,4,.250,4,7,.571,0,4,4,8,1,0,2,1,19,10.6
65,2005-03-26,20-086,CLE,False,DAL,L (-31),1,7,17,.412,0,2,.000,5,6,.833,1,3,4,6,0,0,3,1,19,11.9
66,2005-03-28,20-088,CLE,False,NOH,W (+1),1,16,29,.552,3,10,.300,9,11,.818,2,4,6,3,4,0,10,3,44,26.8
67,2005-03-29,20-089,CLE,True,LAC,W (+10),1,7,20,.350,2,8,.250,6,7,.857,0,7,7,5,2,1,1,0,22,17.7
68,2005-03-31,20-091,CLE,False,CHI,L (-12),1,10,28,.357,1,4,.250,5,11,.455,4,2,6,7,4,2,3,5,26,16.7
69,2005-04-01,20-092,CLE,True,SAC,L (-19),1,13,21,.619,2,4,.500,7,10,.700,0,8,8,9,2,0,7,2,35,27.2
70,2005-04-03,20-094,CLE,True,DAL,W (+20),1,10,23,.435,4,8,.500,13,13,1.000,2,8,10,7,2,1,6,3,37,29.1
71,2005-04-05,20-096,CLE,True,NJN,L (-31),1,9,19,.474,3,6,.500,3,6,.500,2,7,9,4,2,2,6,2,24,16.0
72,2005-04-06,20-097,CLE,False,IND,L (-21),1,9,18,.500,0,3,.000,2,4,.500,2,2,4,3,1,0,2,2,20,12.5
73,2005-04-08,20-099,CLE,False,PHI,L (-5),1,12,30,.400,2,6,.333,11,11,1.000,4,9,13,7,5,0,5,1,37,30.8
74,2005-04-09,20-100,CLE,True,MIL,W (+17),1,15,26,.577,7,13,.538,3,3,1.000,1,9,10,10,2,1,3,2,40,37.1
75,2005-04-11,20-102,CLE,False,ORL,W (+8),1,12,23,.522,1,6,.167,8,10,.800,1,6,7,6,5,1,2,4,33,29.7
76,2005-04-14,20-105,CLE,True,NYK,L (-6),1,7,25,.280,4,13,.308,9,14,.643,1,17,18,7,2,2,4,3,27,19.2
77,2005-04-15,20-106,CLE,False,WAS,L (-8),1,16,33,.485,1,6,.167,5,8,.625,2,4,6,6,1,0,1,3,38,25.7
78,2005-04-17,20-108,CLE,False,DET,L (-3),1,12,35,.343,2,7,.286,11,14,.786,3,8,11,6,0,1,1,0,37,24.5
79,2005-04-19,20-110,CLE,True,BOS,W (+14),1,13,27,.481,2,3,.667,4,5,.800,1,7,8,6,5,0,3,3,32,25.7
80,2005-04-20,20-111,CLE,False,TOR,W (+9),1,10,23,.435,2,8,.250,5,10,.500,2,12,14,14,0,1,2,1,27,26.0
