Team 1,Team 2,Team 1 Win %,Team 2 Win %,Team 1 At Home,Team 1 Won
Boston Celtics,Cleveland Cavaliers,0.21544715447154472,0.8739837398373984,0,0
Golden State Warriors,Houston Rockets,0.27235772357723576,0.8902439024390244,1,0
Charlotte Hornets,Detroit Pistons,0.14634146341463414,0.8170731707317073,0,0
Indiana Pacers,Brooklyn Nets,0.8373983739837398,0.08130081300813008,1,1
Miami Heat,Orlando Magic,0.16666666666666666,0.7845528455284553,0,0
Washington Wizards,Philadelphia 76ers,0.8658536585365854,0.11382113821138212,1,1
Boston Celtics,Milwaukee Bucks,0.21544715447154472,0.8373983739837398,1,0
Memphis Grizzlies,New Orleans Pelicans,0.8414634146341463,0.13821138211382114,1,1
Atlanta Hawks,Dallas Mavericks,0.8414634146341463,0.13414634146341464,0,1
Utah Jazz,Denver Nuggets,0.8739837398373984,0.16260162601626016,1,1
San Antonio Spurs,Minnesota Timberwolves,0.9146341463414634,0.12601626016260162,1,1
Phoenix Suns,Portland Trail Blazers,0.09756097560975609,0.8333333333333334,1,0
Sacramento Kings,Houston Rockets,0.13008130081300814,0.8902439024390244,1,0
Chicago Bulls,Toronto Raptors,0.16666666666666666,0.8739837398373984,0,0
Oklahoma City Thunder,New York Knicks,0.8577235772357724,0.12601626016260162,1,1
Los Angeles Lakers,Los Angeles Clippers,0.10569105691056911,0.8739837398373984,1,0
Charlotte Hornets,Atlanta Hawks,0.4796747967479675,0.508130081300813,1,1
Indiana Pacers,Portland Trail Blazers,0.5040650406504065,0.8333333333333334,1,0
Milwaukee Bucks,Cleveland Cavaliers,0.5040650406504065,0.8739837398373984,1,0
Boston Celtics,Philadelphia 76ers,0.43766937669376693,0.11382113821138212,0,1
Washington Wizards,Detroit Pistons,0.8658536585365854,0.48373983739837395,1,1
Orlando Magic,Brooklyn Nets,0.4512195121951219,0.4146341463414634,0,0
Utah Jazz,Minnesota Timberwolves,0.540650406504065,0.4593495934959349,0,0
Sacramento Kings,Dallas Mavericks,0.46341463414634143,0.13414634146341464,0,1
New Orleans Pelicans,Golden State Warriors,0.13821138211382114,0.605691056910569,1,0
Phoenix Suns,Los Angeles Lakers,0.09756097560975609,0.43902439024390244,1,0
Philadelphia 76ers,Toronto Raptors,0.11382113821138212,0.8739837398373984,0,0
San Antonio Spurs,Chicago Bulls,0.9146341463414634,0.16666666666666666,0,1
Cleveland Cavaliers,Orlando Magic,0.6517615176151761,0.5623306233062331,1,0
Dallas Mavericks,Houston Rockets,0.13414634146341464,0.8902439024390244,0,0
Golden State Warriors,Memphis Grizzlies,0.49457994579945797,0.8414634146341463,0,0
Miami Heat,Indiana Pacers,0.5,0.39295392953929537,1,1
New York Knicks,Detroit Pistons,0.12601626016260162,0.5948509485094851,1,0
Milwaukee Bucks,Portland Trail Blazers,0.6151761517615176,0.611111111111111,1,1
Sacramento Kings,Denver Nuggets,0.3523035230352303,0.4959349593495935,0,0
Utah Jazz,Oklahoma City Thunder,0.6517615176151761,0.524390243902439,1,1
Phoenix Suns,Los Angeles Clippers,0.09756097560975609,0.8739837398373984,0,0
Brooklyn Nets,Atlanta Hawks,0.5257452574525745,0.39701897018970184,1,1
Minnesota Timberwolves,Oklahoma City Thunder,0.5704607046070461,0.4132791327913279,0,1
New Orleans Pelicans,Los Angeles Lakers,0.3604336043360434,0.3279132791327913,0,1
Detroit Pistons,Philadelphia 76ers,0.48373983739837395,0.2804878048780488,1,0
Atlanta Hawks,Miami Heat,0.34146341463414637,0.611111111111111,0,0
Houston Rockets,Memphis Grizzlies,0.7235772357723578,0.8414634146341463,1,0
Charlotte Hornets,Milwaukee Bucks,0.3685636856368564,0.6707317073170732,0,0
Dallas Mavericks,Golden State Warriors,0.13414634146341464,0.605691056910569,1,0
Toronto Raptors,San Antonio Spurs,0.6517615176151761,0.9146341463414634,0,0
Denver Nuggets,Washington Wizards,0.3848238482384823,0.8658536585365854,1,0
Phoenix Suns,Sacramento Kings,0.26422764227642276,0.2967479674796748,1,1
Chicago Bulls,Cleveland Cavaliers,0.16666666666666666,0.7073170731707318,0,0
Orlando Magic,Brooklyn Nets,0.6178861788617885,0.4146341463414634,1,1
New York Knicks,Boston Celtics,0.12601626016260162,0.5487804878048781,0,0
Minnesota Timberwolves,Indiana Pacers,0.4593495934959349,0.5040650406504065,1,0
Portland Trail Blazers,New Orleans Pelicans,0.6666666666666666,0.3048780487804878,1,1
Utah Jazz,Los Angeles Clippers,0.540650406504065,0.8739837398373984,0,0
Charlotte Hornets,Denver Nuggets,0.4796747967479675,0.32926829268292684,1,1
Detroit Pistons,Minnesota Timberwolves,0.5504065040650407,0.39268292682926836,1,1
Philadelphia 76ers,Houston Rockets,0.24715447154471545,0.7569105691056911,1,0
Brooklyn Nets,Cleveland Cavaliers,0.48130081300813005,0.6073170731707317,1,1
Miami Heat,San Antonio Spurs,0.5,0.9146341463414634,1,0
Oklahoma City Thunder,Indiana Pacers,0.524390243902439,0.4373983739837399,1,1
Memphis Grizzlies,Dallas Mavericks,0.6747967479674797,0.267479674796748,0,0
Phoenix Suns,Utah Jazz,0.3642276422764228,0.47398373983739833,1,1
Golden State Warriors,Toronto Raptors,0.6723577235772358,0.540650406504065,1,1
Los Angeles Lakers,Washington Wizards,0.43902439024390244,0.6991869918699187,1,1
Atlanta Hawks,Chicago Bulls,0.30813008130081304,0.3333333333333333,0,0
Memphis Grizzlies,Dallas Mavericks,0.708130081300813,0.24525745257452577,1,1
Milwaukee Bucks,Boston Celtics,0.5707317073170731,0.6154471544715446,1,0
Portland Trail Blazers,Los Angeles Clippers,0.5666666666666667,0.8739837398373984,1,0
Sacramento Kings,New Orleans Pelicans,0.2634146341463415,0.4048780487804878,1,0
Houston Rockets,Charlotte Hornets,0.7791327913279132,0.41300813008130083,0,1
San Antonio Spurs,Orlando Magic,0.78130081300813,0.651219512195122,0,0
Denver Nuggets,Atlanta Hawks,0.4292682926829268,0.2859078590785908,0,1
New York Knicks,Brooklyn Nets,0.2926829268292683,0.4146341463414634,1,1
Minnesota Timberwolves,Oklahoma City Thunder,0.4593495934959349,0.45772357723577234,1,1
Washington Wizards,Golden State Warriors,0.5991869918699186,0.7168021680216802,0,0
Los Angeles Lakers,Toronto Raptors,0.3723577235772358,0.6073170731707317,1,0
Cleveland Cavaliers,New Orleans Pelicans,0.540650406504065,0.47154471544715443,0,0
Oklahoma City Thunder,Chicago Bulls,0.524390243902439,0.3,0,1
Houston Rockets,Memphis Grizzlies,0.6997677119628339,0.7303523035230354,0,0
Boston Celtics,Miami Heat,0.6598915989159891,0.43333333333333335,0,1
Dallas Mavericks,Philadelphia 76ers,0.22938443670150988,0.33604336043360433,1,0
Los Angeles Lakers,Utah Jazz,0.3279132791327913,0.540650406504065,0,0
Phoenix Suns,Portland Trail Blazers,0.3197831978319783,0.611111111111111,0,0
Los Angeles Clippers,Detroit Pistons,0.7406504065040651,0.5948509485094851,1,0
Atlanta Hawks,Milwaukee Bucks,0.2700348432055749,0.6151761517615176,1,0
San Antonio Spurs,Indiana Pacers,0.6924119241192411,0.5040650406504065,0,0
