Home Win %,Visitor Win %,Home Won
0.882,0.114,1
0.939,0.191,1
0.146,0.837,0
0.817,0.081,1
0.837,0.175,1
0.785,0.167,1
0.793,0.175,1
0.874,0.207,1
0.224,0.805,0
0.915,0.126,1
0.13,0.874,0
0.207,0.829,0
0.764,0.134,1
0.447,0.167,1
0.199,0.5,0
0.833,0.106,1
0.451,0.48,0
0.415,0.459,1
0.508,0.175,1
0.459,0.207,1
0.805,0.13,1
0.874,0.549,1
0.837,0.504,1
0.541,0.191,1
0.541,0.939,0
0.615,0.304,1
0.199,0.874,0
0.348,0.66,0
0.558,0.34,1
0.167,0.817,0
0.389,0.591,0
0.467,0.348,1
0.829,0.431,1
0.833,0.581,1
0.106,0.557,0
0.207,0.397,0
0.191,0.352,0
0.829,0.717,1
0.652,0.446,1
0.549,0.451,0
0.874,0.48,1
0.837,0.293,1
0.459,0.504,1
0.579,0.167,1
0.43,0.619,0
0.611,0.421,0
0.772,0.32,1
0.106,0.692,0
0.817,0.447,1
0.805,0.541,1
0.829,0.297,1
0.508,0.467,1
0.207,0.415,0
0.5,0.259,1
0.874,0.393,1
0.333,0.413,1
0.39,0.541,0
0.581,0.571,0
0.837,0.38,1
0.264,0.272,0
0.397,0.508,1
0.806,0.366,1
0.817,0.207,1
0.385,0.667,0
0.191,0.615,0
0.372,0.696,1
0.48,0.3,1
0.237,0.828,0
0.874,0.401,1
0.357,0.607,0
0.348,0.837,0
0.805,0.348,1
0.463,0.333,1
0.684,0.66,0
0.672,0.607,0
0.441,0.389,0
0.207,0.615,0
0.447,0.432,1
0.575,0.231,1
0.567,0.567,1
0.837,0.34,1
0.648,0.328,1
0.304,0.844,0
0.356,0.652,0
0.324,0.209,1
0.652,0.31,1
0.552,0.611,0
0.495,0.397,1
0.5,0.511,0
0.316,0.272,1
0.357,0.856,0
0.837,0.779,1
0.412,0.296,1
0.692,0.325,1
0.718,0.583,1
0.48,0.452,1
0.303,0.365,1
0.308,0.547,0
0.692,0.595,1
0.791,0.447,1
0.335,0.643,0
0.619,0.294,1
0.413,0.588,1
0.331,0.531,1
0.333,0.734,0
0.459,0.588,1
0.293,0.587,0
0.865,0.519,1
0.356,0.301,1
0.193,0.724,0
0.443,0.477,0
0.291,0.746,0
0.484,0.541,1
0.341,0.575,0
0.715,0.754,1
0.667,0.472,1
0.285,0.578,0
0.304,0.414,0
0.315,0.615,0
0.283,0.524,0
0.282,0.348,0
0.541,0.651,0
0.181,0.8,0
0.872,0.422,1
0.514,0.484,1
0.48,0.281,1
0.637,0.66,1
0.397,0.417,1
0.3,0.474,0
0.748,0.435,1
0.755,0.504,1
0.611,0.402,0
0.763,0.53,1
0.348,0.477,1
0.347,0.326,1
0.692,0.34,0
0.246,0.591,1
0.633,0.393,1
0.372,0.807,0
0.447,0.463,0
0.595,0.52,0
0.385,0.274,1
0.308,0.348,0
0.561,0.405,1
0.763,0.615,1
0.474,0.813,0
0.878,0.545,1
0.607,0.368,1
0.51,0.375,1
0.334,0.333,1
0.231,0.384,0
0.652,0.704,1
0.268,0.591,0
0.36,0.484,0
0.357,0.348,0
0.5,0.648,1
0.56,0.503,0
0.575,0.708,1
0.441,0.333,1
0.51,0.316,1
0.494,0.818,0
0.409,0.348,1
0.615,0.49,1
0.219,0.64,0
0.667,0.571,1
0.828,0.716,0
0.396,0.32,1
0.524,0.48,1
0.341,0.514,0
0.47,0.581,0
0.663,0.415,0
0.541,0.604,1
0.519,0.331,1
0.823,0.331,1
0.596,0.671,1
0.472,0.209,1
0.372,0.263,1
0.599,0.495,1
0.444,0.366,0
0.836,0.389,1
0.672,0.466,1
0.356,0.58,1
0.489,0.439,0
0.484,0.505,0
0.501,0.552,1
0.316,0.426,0
0.624,0.684,0
0.679,0.574,1
0.465,0.329,1
0.404,0.404,1
0.423,0.514,0
0.779,0.497,0
0.357,0.391,0
0.564,0.566,0
0.364,0.367,1
0.601,0.2,1
0.511,0.637,1
0.618,0.796,1
0.31,0.48,1
0.591,0.531,0
0.806,0.318,1
0.429,0.489,1
0.437,0.303,1
0.596,0.344,1
0.348,0.452,0
0.741,0.509,0
0.647,0.585,0
0.393,0.472,1
0.62,0.304,1
0.42,0.541,1
0.24,0.607,1
0.487,0.643,1
0.557,0.772,1
0.607,0.308,1
0.636,0.581,1
0.615,0.707,1
0.571,0.433,1
0.506,0.518,1
0.421,0.373,0
0.603,0.486,1
0.418,0.611,1
0.494,0.293,1
0.66,0.333,1
0.356,0.652,0
0.457,0.521,0
0.587,0.3,1
0.513,0.579,1
0.451,0.461,1
0.59,0.541,0
0.324,0.717,0
0.579,0.463,1
0.445,0.743,1
0.231,0.636,0
0.401,0.619,0
0.417,0.481,0
0.471,0.283,1
0.408,0.625,0
0.604,0.717,1
0.48,0.568,1
0.531,0.296,1
0.602,0.521,1
0.535,0.223,1
0.292,0.666,0
0.633,0.426,1
0.671,0.555,1
0.53,0.581,1
0.483,0.608,1
0.451,0.726,0
0.434,0.639,1
0.402,0.378,0
0.274,0.637,0
0.499,0.578,1
0.547,0.509,1
0.286,0.734,0
0.549,0.301,0
0.352,0.215,1
0.291,0.498,0
0.599,0.506,1
0.681,0.611,1
0.385,0.57,0
0.448,0.362,1
0.562,0.645,0
0.504,0.5,0
0.693,0.622,0
0.348,0.407,0
0.652,0.619,1
0.525,0.577,1
0.28,0.566,0
0.326,0.489,1
0.527,0.325,0
0.741,0.421,1
0.342,0.426,0
0.557,0.581,0
0.636,0.48,1
0.652,0.246,0
0.584,0.434,1
0.706,0.588,1
0.513,0.488,1
0.355,0.557,1
0.426,0.333,1
0.612,0.596,0
0.445,0.472,1
0.467,0.549,1
0.717,0.481,1
0.662,0.564,1
0.492,0.451,0
0.543,0.238,1
0.308,0.462,1
0.335,0.538,0
0.596,0.348,0
0.747,0.412,1
0.463,0.507,0
0.567,0.663,0
0.48,0.637,1
0.348,0.443,0
0.466,0.539,1
0.325,0.581,0
0.456,0.565,0
0.493,0.571,0
0.727,0.435,1
0.558,0.338,1
0.4,0.334,0
0.575,0.753,0
0.607,0.472,1
0.231,0.583,0
0.496,0.326,1
0.549,0.329,1
0.324,0.51,0
0.524,0.485,0
0.647,0.318,1
0.459,0.565,1
0.472,0.453,1
0.624,0.341,1
0.579,0.421,1
0.674,0.225,1
0.758,0.707,1
0.487,0.565,1
0.448,0.684,0
0.579,0.334,1
0.48,0.526,0
