Home,Home Points,Visitor,Visitor Points
Boston Celtics,105,Philadelphia 76ers,87
Golden State Warriors,108,Oklahoma City Thunder,100
Charlotte Hornets,112,Milwaukee Bucks,113
Detroit Pistons,103,Brooklyn Nets,100
Indiana Pacers,111,Memphis Grizzlies,83
Orlando Magic,104,Miami Heat,101
New York Knicks,126,Atlanta Hawks,107
Toronto Raptors,116,Cleveland Cavaliers,104
Houston Rockets,112,New Orleans Pelicans,131
San Antonio Spurs,112,Minnesota Timberwolves,108
Sacramento Kings,117,Utah Jazz,123
Los Angeles Clippers,98,Denver Nuggets,107
Phoenix Suns,121,Dallas Mavericks,100
Philadelphia 76ers,127,Chicago Bulls,108
Washington Wizards,112,Miami Heat,113
Portland Trail Blazers,128,Los Angeles Lakers,119
Orlando Magic,88,Charlotte Hornets,120
Brooklyn Nets,107,New York Knicks,105
Memphis Grizzlies,131,Atlanta Hawks,117
Minnesota Timberwolves,131,Cleveland Cavaliers,123
New Orleans Pelicans,149,Sacramento Kings,129
Toronto Raptors,113,Boston Celtics,101
Milwaukee Bucks,118,Indiana Pacers,101
Los Angeles Clippers,108,Oklahoma City Thunder,92
Utah Jazz,123,Golden State Warriors,124
Indiana Pacers,132,Brooklyn Nets,112
Washington Wizards,113,Toronto Raptors,117
New York Knicks,101,Boston Celtics,103
Philadelphia 76ers,116,Orlando Magic,115
Chicago Bulls,116,Detroit Pistons,118
Miami Heat,112,Charlotte Hornets,113
Dallas Mavericks,140,Minnesota Timberwolves,136
Denver Nuggets,119,Phoenix Suns,91
Portland Trail Blazers,121,San Antonio Spurs,108
Los Angeles Lakers,115,Houston Rockets,124
Cleveland Cavaliers,111,Atlanta Hawks,133
Oklahoma City Thunder,120,Sacramento Kings,131
Denver Nuggets,100,Golden State Warriors,98
Los Angeles Clippers,115,Houston Rockets,112
Boston Celtics,90,Orlando Magic,93
Toronto Raptors,127,Charlotte Hornets,106
Milwaukee Bucks,124,New York Knicks,113
Minnesota Timberwolves,101,Indiana Pacers,91
Dallas Mavericks,115,Chicago Bulls,109
Utah Jazz,84,Memphis Grizzlies,92
Portland Trail Blazers,124,Washington Wizards,125
Golden State Warriors,123,Phoenix Suns,103
Los Angeles Lakers,142,San Antonio Spurs,143
Detroit Pistons,133,Philadelphia 76ers,132
New Orleans Pelicans,116,Los Angeles Clippers,109
Denver Nuggets,126,Sacramento Kings,112
Atlanta Hawks,111,Dallas Mavericks,104
Cleveland Cavaliers,86,Brooklyn Nets,102
Miami Heat,110,New York Knicks,87
Toronto Raptors,112,Minnesota Timberwolves,105
Chicago Bulls,112,Charlotte Hornets,110
Houston Rockets,89,Utah Jazz,100
San Antonio Spurs,96,Indiana Pacers,116
Milwaukee Bucks,123,Philadelphia 76ers,108
Phoenix Suns,113,Los Angeles Lakers,131
Sacramento Kings,97,Memphis Grizzlies,92
Golden State Warriors,144,Washington Wizards,122
Detroit Pistons,110,Cleveland Cavaliers,103
Orlando Magic,114,Portland Trail Blazers,128
Oklahoma City Thunder,95,Boston Celtics,101
Los Angeles Lakers,121,Denver Nuggets,114
Charlotte Hornets,135,Chicago Bulls,106
New York Knicks,100,Golden State Warriors,128
Toronto Raptors,116,Dallas Mavericks,107
Houston Rockets,113,Los Angeles Clippers,133
Minnesota Timberwolves,95,Milwaukee Bucks,125
New Orleans Pelicans,117,Brooklyn Nets,115
Sacramento Kings,116,Washington Wizards,112
Detroit Pistons,89,Boston Celtics,109
New Orleans Pelicans,111,Utah Jazz,132
Atlanta Hawks,85,Chicago Bulls,97
Cleveland Cavaliers,107,Indiana Pacers,119
Philadelphia 76ers,105,Charlotte Hornets,103
Memphis Grizzlies,117,Phoenix Suns,96
Miami Heat,120,Portland Trail Blazers,111
Milwaukee Bucks,113,Orlando Magic,91
